年月日,降水量,平均気温,最高気温,最低気温,平均湿度,最小湿度,日照時間
2024/1/1,0.0,9.2,12.5,4.4,48.0,31.0,8.9
2024/1/2,0.0,6.1,9.2,2.8,65.0,45.0,1.7
2024/1/3,0.0,7.4,11.0,2.8,72.0,53.0,0.5
2024/1/4,0.0,9.7,15.3,6.3,58.0,31.0,6.6
2024/1/5,0.0,7.4,13.6,2.9,57.0,40.0,8.6
2024/1/6,0.0,9.1,15.6,3.0,61.0,39.0,8.9
2024/1/7,0.0,8.3,12.7,5.7,53.0,29.0,3.2
2024/1/8,0.0,5.4,10.2,2.7,43.0,19.0,8.8
2024/1/9,0.0,5.4,11.0,1.5,49.0,36.0,8.8
2024/1/10,0.0,7.2,12.3,1.7,52.0,37.0,6.5
2024/1/11,0.0,4.8,7.2,1.8,51.0,35.0,0.6
2024/1/12,0.0,7.1,13.7,0.1,53.0,38.0,9.0
2024/1/13,2.0,5.9,11.7,1.2,59.0,38.0,5.2
2024/1/14,0.0,6.4,10.5,0.2,49.0,35.0,9.1
2024/1/15,0.0,6.3,11.4,2.4,44.0,30.0,8.1
2024/1/16,0.0,3.7,7.0,0.0,43.0,25.0,7.7
2024/1/17,0.0,6.2,12.2,0.8,48.0,27.0,9.1
2024/1/18,0.0,8.5,13.4,2.5,49.0,34.0,4.0
2024/1/19,0.0,10.2,15.1,7.6,58.0,44.0,7.4
2024/1/20,2.5,6.3,7.6,4.6,69.0,53.0,0.0
2024/1/21,31.5,8.1,12.1,4.6,90.0,61.0,0.6
2024/1/22,0.0,10.7,14.6,6.7,76.0,58.0,4.3
2024/1/23,0.0,9.0,13.9,5.5,65.0,36.0,7.9
2024/1/24,0.0,4.5,8.4,1.1,31.0,18.0,5.8
2024/1/25,0.0,4.2,9.6,-1.1,30.0,18.0,9.3
2024/1/26,0.0,6.2,12.0,1.8,35.0,22.0,9.4
2024/1/27,0.0,7.2,12.2,2.9,38.0,26.0,9.2
2024/1/28,0.0,6.0,9.6,2.8,50.0,36.0,1.7
2024/1/29,0.0,6.8,11.9,2.4,51.0,28.0,9.3
2024/1/30,0.0,7.7,13.3,4.0,52.0,28.0,9.0
2024/1/31,0.0,9.3,14.1,2.7,63.0,40.0,9.3
2024/2/1,0.0,9.8,16.3,5.0,48.0,34.0,5.0
2024/2/2,0.0,5.0,7.6,3.3,43.0,35.0,0.4
2024/2/3,0.0,6.9,11.7,3.4,44.0,29.0,8.7
2024/2/4,5.0,4.9,6.9,2.6,77.0,44.0,0.0
2024/2/5,35.0,3.0,6.2,0.3,75.0,46.0,0.0
2024/2/6,2.0,3.4,5.4,0.8,93.0,87.0,0.0
2024/2/7,0.0,4.7,9.6,-0.1,69.0,41.0,9.2
2024/2/8,0.0,5.7,11.3,1.2,59.0,37.0,6.9
2024/2/9,0.0,6.8,11.3,2.5,56.0,37.0,6.9
2024/2/10,0.0,7.1,12.4,1.8,61.0,41.0,9.5
2024/2/11,0.0,8.1,12.8,4.3,47.0,28.0,6.4
2024/2/12,0.0,7.3,12.7,3.6,50.0,24.0,9.0
2024/2/13,0.0,9.6,17.3,1.6,52.0,37.0,9.7
2024/2/14,0.0,10.9,18.5,4.2,45.0,19.0,8.1
2024/2/15,0.0,14.4,21.1,6.1,63.0,47.0,7.7
2024/2/16,0.0,10.6,17.0,6.2,46.0,21.0,8.8
2024/2/17,0.0,9.0,13.6,4.6,58.0,43.0,2.1
2024/2/18,0.0,13.4,18.8,9.2,69.0,49.0,6.9
2024/2/19,5.0,15.0,17.2,12.8,85.0,69.0,0.1
2024/2/20,0.0,18.1,23.7,12.8,78.0,60.0,5.2
2024/2/21,5.5,8.7,13.2,7.3,91.0,70.0,0.0
2024/2/22,6.5,5.5,8.0,3.6,95.0,87.0,0.0
2024/2/23,6.5,2.8,4.0,1.7,93.0,74.0,0.0
2024/2/24,0.0,5.3,10.3,1.2,60.0,37.0,9.5
2024/2/25,8.5,4.4,5.8,3.5,84.0,60.0,0.0
2024/2/26,0.5,7.8,13.3,4.8,57.0,31.0,9.4
2024/2/27,0.0,7.0,11.4,4.1,39.0,26.0,10.7
2024/2/28,0.0,8.3,14.4,4.1,40.0,23.0,10.8
2024/2/29,4.0,7.6,11.8,3.5,62.0,38.0,1.4
2024/3/1,15.5,9.9,16.4,3.7,68.0,38.0,6.2
2024/3/2,0.0,6.3,10.1,3.9,38.0,28.0,2.5
2024/3/3,0.0,7.5,13.4,1.2,41.0,28.0,10.3
2024/3/4,0.0,9.4,15.7,2.9,41.0,25.0,10.6
2024/3/5,19.0,6.4,9.1,2.0,71.0,40.0,0.0
2024/3/6,11.0,5.6,10.4,2.0,83.0,53.0,0.4
2024/3/7,0.0,6.9,10.7,4.9,56.0,40.0,2.3
2024/3/8,19.0,4.5,9.4,0.4,88.0,63.0,1.6
2024/3/9,0.0,6.1,11.2,2.6,53.0,20.0,10.7
2024/3/10,0.0,6.7,13.6,0.5,40.0,25.0,11.0
2024/3/11,0.0,8.2,13.8,1.8,49.0,33.0,8.8
2024/3/12,36.0,7.8,10.0,6.1,79.0,51.0,0.0
2024/3/13,0.0,9.5,13.7,6.7,46.0,27.0,10.7
2024/3/14,0.0,9.5,15.6,2.8,51.0,31.0,11.3
2024/3/15,0.0,11.8,17.6,6.2,49.0,30.0,11.2
2024/3/16,0.0,14.8,22.7,10.8,47.0,14.0,10.8
2024/3/17,0.0,16.0,21.7,9.8,56.0,41.0,8.6
2024/3/18,0.0,9.5,14.6,4.1,30.0,18.0,11.2
2024/3/19,0.0,8.4,12.4,3.7,41.0,22.0,4.6
2024/3/20,1.0,8.5,15.7,4.7,54.0,36.0,7.8
2024/3/21,0.0,6.5,11.4,3.4,34.0,17.0,11.6
2024/3/22,0.0,7.2,13.3,1.8,34.0,17.0,11.7
2024/3/23,0.5,5.7,9.3,2.6,63.0,36.0,0.4
2024/3/24,1.0,10.2,15.5,4.2,83.0,60.0,0.6
2024/3/25,9.0,11.3,12.5,10.8,98.0,93.0,0.0
2024/3/26,45.0,9.4,12.3,6.1,94.0,81.0,0.0
2024/3/27,0.0,10.9,16.5,6.0,54.0,26.0,10.9
2024/3/28,2.5,10.9,14.6,7.2,68.0,51.0,0.4
2024/3/29,29.0,16.3,22.2,11.7,88.0,63.0,4.2
2024/3/30,0.0,17.8,24.6,12.3,66.0,27.0,10.5
2024/3/31,0.0,19.5,28.1,12.2,61.0,26.0,10.7
2024/4/1,3.0,14.6,19.7,11.8,73.0,53.0,3.8
2024/4/2,0.0,14.2,20.6,8.4,50.0,27.0,10.6
2024/4/3,11.5,13.9,16.6,12.3,83.0,57.0,0.0
2024/4/4,4.0,15.4,19.9,11.3,79.0,51.0,0.1
2024/4/5,0.5,11.4,15.1,9.0,71.0,47.0,0.0
2024/4/6,0.0,12.7,15.8,9.0,81.0,66.0,0.0
2024/4/7,1.5,17.0,22.6,13.1,83.0,57.0,8.2
2024/4/8,0.0,18.8,23.2,15.4,85.0,61.0,2.3
2024/4/9,55.5,15.6,19.8,9.7,78.0,43.0,0.0
2024/4/10,0.0,11.7,17.8,7.4,47.0,23.0,11.9
2024/4/11,0.0,14.0,19.8,7.7,62.0,44.0,9.3
2024/4/12,2.5,15.0,18.2,12.8,73.0,57.0,1.8
2024/4/13,0.0,16.4,22.7,11.1,68.0,40.0,10.5
2024/4/14,0.0,18.0,24.8,12.7,66.0,30.0,11.5
2024/4/15,0.0,19.4,26.8,14.0,65.0,30.0,11.4
2024/4/16,0.0,19.2,23.4,15.9,66.0,51.0,6.5
2024/4/17,0.0,20.1,25.5,16.5,70.0,51.0,5.5
2024/4/18,1.5,17.9,21.4,14.3,67.0,48.0,0.3
2024/4/19,0.0,18.3,23.6,14.1,46.0,28.0,11.6
2024/4/20,0.0,19.4,26.1,12.7,48.0,23.0,8.9
2024/4/21,5.0,18.4,23.3,14.9,67.0,50.0,2.2
2024/4/22,7.0,15.6,18.6,13.2,89.0,67.0,0.1
2024/4/23,0.0,16.9,19.4,14.8,82.0,72.0,0.5
2024/4/24,20.5,15.0,16.5,13.9,94.0,73.0,0.0
2024/4/25,0.5,19.5,25.8,13.8,78.0,55.0,9.8
2024/4/26,0.0,20.3,25.1,15.1,72.0,48.0,2.5
2024/4/27,0.0,19.5,23.2,16.6,84.0,54.0,0.0
2024/4/28,0.0,21.6,28.2,15.7,71.0,37.0,11.5
2024/4/29,0.0,21.2,25.8,17.4,80.0,56.0,8.0
2024/4/30,2.5,20.9,25.2,18.2,84.0,64.0,1.5
2024/5/1,26.5,16.5,21.2,11.8,92.0,71.0,0.0
2024/5/2,3.0,15.3,21.7,10.8,70.0,35.0,7.7
2024/5/3,0.0,17.7,24.2,11.4,63.0,34.0,12.4
2024/5/4,0.0,20.9,27.8,14.8,57.0,19.0,12.4
2024/5/5,0.0,21.5,27.7,15.4,65.0,35.0,12.6
2024/5/6,0.0,20.9,23.6,19.1,68.0,59.0,0.9
2024/5/7,5.0,20.0,22.2,18.6,88.0,72.0,0.0
2024/5/8,8.0,17.8,23.8,11.4,83.0,58.0,1.3
2024/5/9,1.5,13.7,18.9,10.2,70.0,33.0,5.8
2024/5/10,0.0,17.5,24.4,8.7,50.0,24.0,12.8
2024/5/11,0.0,20.3,25.9,14.1,61.0,40.0,13.0
2024/5/12,0.0,21.1,24.8,17.3,65.0,49.0,3.7
2024/5/13,58.5,19.3,22.0,15.4,96.0,69.0,0.0
2024/5/14,0.0,16.9,21.6,12.2,71.0,39.0,8.2
2024/5/15,1.5,19.4,25.7,13.8,76.0,49.0,8.6
2024/5/16,10.0,18.7,25.1,14.7,79.0,41.0,5.1
2024/5/17,0.0,20.6,27.2,13.4,50.0,28.0,12.9
2024/5/18,0.0,21.9,28.8,16.2,59.0,31.0,12.5
2024/5/19,0.0,20.8,24.1,17.7,75.0,57.0,0.0
2024/5/20,34.0,17.4,21.4,14.4,92.0,71.0,0.8
2024/5/21,0.0,22.5,28.9,16.9,74.0,45.0,7.9
2024/5/22,0.0,20.6,25.3,18.0,61.0,38.0,6.5
2024/5/23,0.0,21.4,25.2,18.1,75.0,60.0,1.8
2024/5/24,0.0,23.3,29.0,18.1,67.0,44.0,9.3
2024/5/25,0.0,21.4,25.8,18.3,52.0,22.0,6.7
2024/5/26,0.0,21.6,26.6,17.6,63.0,36.0,8.7
2024/5/27,0.0,22.3,25.1,20.3,84.0,71.0,0.4
2024/5/28,19.0,24.0,25.9,22.4,91.0,77.0,0.1
2024/5/29,0.5,22.0,25.8,18.8,71.0,53.0,7.9
2024/5/30,0.0,22.5,27.3,17.5,73.0,49.0,5.4
2024/5/31,34.0,19.0,21.7,16.6,90.0,78.0,0.1
2024/6/1,0.0,20.9,26.3,17.4,75.0,45.0,7.0
2024/6/2,45.5,18.7,24.6,16.2,88.0,58.0,2.9
2024/6/3,25.5,18.3,24.3,15.0,88.0,58.0,2.4
2024/6/4,0.0,19.5,25.5,14.8,75.0,47.0,7.8
2024/6/5,0.0,21.4,27.4,16.4,64.0,36.0,11.9
2024/6/6,0.0,22.0,27.0,18.1,72.0,52.0,3.8
2024/6/7,0.0,22.1,26.7,18.1,67.0,51.0,5.1
2024/6/8,0.0,22.8,28.2,17.4,66.0,32.0,11.8
2024/6/9,0.5,22.4,25.7,19.9,76.0,51.0,0.2
2024/6/10,17.0,20.7,24.7,17.4,85.0,64.0,0.7
2024/6/11,0.0,24.0,29.0,19.5,73.0,50.0,12.8
2024/6/12,0.0,24.6,30.1,20.0,74.0,48.0,10.4
2024/6/13,0.0,22.6,25.4,20.0,81.0,64.0,1.6
2024/6/14,0.0,25.9,31.7,19.5,67.0,0.0,12.7
2024/6/15,0.5,24.8,29.9,20.9,75.0,40.0,8.0
2024/6/16,5.5,23.7,28.7,19.7,86.0,63.0,6.8
2024/6/17,0.0,26.0,30.5,22.5,75.0,48.0,4.6
2024/6/18,98.0,19.2,22.5,18.0,100.0,91.0,0.0
2024/6/19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/6/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/6/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/6/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/6/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/6/24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/6/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/6/26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/6/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/6/28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/6/29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/6/30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
